placement,np,threads,iterations,population,features,gather_time,total_time,computation_time,trial,execution
scatter,4,1,1000,128,100,0.0,46.2236201763,46.1830508709,2,1
scatter,4,1,1000,128,100,0.0,46.6502692699,46.6429564953,2,2
scatter,4,1,1000,128,100,0.0,46.2216053009,46.2028326988,2,3
scatter,4,1,1000,128,100,0.0,65.895529747,65.8889408112,3,1
scatter,4,2,1000,128,100,0.0,38.3096013069,38.3014578819,3,1
scatter,4,4,1000,128,100,0.0,24.5366563797,24.50837183,3,1
scatter,4,1,1000,128,100,0.0,60.8025457859,60.7951688766,3,2
scatter,4,2,1000,128,100,0.0,35.147462368,35.1391148567,3,2
scatter,4,4,1000,128,100,0.0,26.8352746964,26.8216943741,3,2
scatter,4,1,1000,128,100,0.0,52.295208931,52.2866528034,3,3
scatter,4,2,1000,128,100,0.0,36.804931879,36.787719965,3,3
scatter,4,4,1000,128,100,0.0,28.1445672512,28.1376433372,3,3
scatter,16,1,1000,128,100,0.0,236.9800071716,236.9741089344,0,1
scatter,16,1,1000,128,100,0.0,192.7232122421,192.7111232281,0,2
scatter,16,1,1000,128,100,0.0,213.0563127995,213.0440223217,0,3
scatter,16,1,1000,128,100,0.0007724762,235.1342594624,235.0515887737,1,1
scatter,16,1,1000,128,100,0.0008144379,234.8901293277,234.87877178189999,1,2
scatter,16,1,1000,128,100,0.0008034706,235.2642631531,235.2568433285,1,3
scatter,16,1,1000,128,100,0.0,13.6239397526,13.5825793743,2,1
scatter,16,1,1000,128,100,0.0,13.6188752651,13.6105861664,2,2
scatter,16,1,1000,128,100,0.0,13.6446452141,13.6340484619,2,3
scatter,16,1,1000,128,100,0.0,19.0348403454,19.0254731178,3,1
scatter,16,2,1000,128,100,0.0,15.2557485104,15.2334156036,3,1
scatter,16,4,1000,128,100,0.0,9.6299324036,9.618303299,3,1
scatter,16,1,1000,128,100,0.0,16.715857029,16.7063331604,3,2
scatter,16,2,1000,128,100,0.0,14.5434615612,14.5243289471,3,2
scatter,16,4,1000,128,100,0.0,9.5490958691,9.5321929455,3,2
scatter,16,1,1000,128,100,0.0,13.1221926212,13.1083726883,3,3
scatter,16,2,1000,128,100,0.0,14.6466608047,14.6050958633,3,3
scatter,16,4,1000,128,100,0.0,42.838108778,42.7770628929,3,3
scatter,32,1,1000,128,100,0.0,235.9174685478,235.9104351997,0,1
scatter,32,1,1000,128,100,0.0,235.2491905689,235.2428429127,0,2
scatter,32,1,1000,128,100,0.0,213.2408895493,213.1994848251,0,3
scatter,32,1,1000,128,100,0.0020713806,241.8220098019,241.8072695732,1,1
scatter,32,1,1000,128,100,0.0019378662,273.4413237572,273.38159132,1,2
scatter,32,1,1000,128,100,0.0042109489,273.6456356049,273.5675079823,1,3
scatter,32,1,1000,128,100,0.0,7.2086572647,7.1857073307,2,1
scatter,32,1,1000,128,100,0.0,7.2138111591,7.2021863461,2,2
scatter,32,1,1000,128,100,0.0,7.3400552273,7.2950341702,2,3
scatter,32,1,1000,128,100,0.0,9.7424161434,9.7308688164,3,1
scatter,32,2,1000,128,100,0.0,6.9633247852,6.866723299,3,1
scatter,32,4,1000,128,100,0.0,36.5175447464,36.4816362858,3,1
scatter,32,1,1000,128,100,0.0,9.1058347225,9.0722494125,3,2
scatter,32,2,1000,128,100,0.0,5.0740451813,5.0600636005,3,2
scatter,32,4,1000,128,100,0.0,34.9190442562,34.8104374409,3,2
scatter,32,1,1000,128,100,0.0,8.708160162,8.6645457745,3,3
scatter,32,2,1000,128,100,0.0,5.5473582745,5.4253227711,3,3
scatter,32,4,1000,128,100,0.0,34.8982982635,34.774920702,3,3
scatter,64,1,1000,128,100,0.0,272.6942238808,272.687458992,0,1
scatter,64,1,1000,128,100,0.0,272.1764085293,272.150393486,0,2
scatter,64,1,1000,128,100,0.0,235.0725569725,235.0659108162,0,3
scatter,64,1,1000,128,100,0.0027518272,273.60367465020005,273.5553569794,1,1
scatter,64,1,1000,128,100,0.002727747,274.2474544048,274.2175016403,1,2
scatter,64,1,1000,128,100,0.003177166,236.089127779,236.0240719318,1,3
scatter,64,1,1000,128,100,0.0,4.1325247288,4.10328269,2,1
scatter,64,1,1000,128,100,0.0,4.0571639538,4.0408267975,2,2
scatter,64,1,1000,128,100,0.0,4.1683876514,4.136523962,2,3
scatter,64,1,1000,128,100,0.0,5.2107794285,5.1924920082,3,1
scatter,64,2,1000,128,100,0.0,12.8306310177,12.8119814396,3,1
scatter,64,1,1000,128,100,0.0,5.0014429092,4.9165036678,3,2
scatter,64,2,1000,128,100,0.0,4.9058988094,4.8497204781,3,2
scatter,64,4,1000,128,100,0.0,4.5200595856,4.1172590256,3,2
scatter,64,1,1000,128,100,0.0,5.1436195374,4.9990990162,3,3
scatter,64,2,1000,128,100,0.0,4.9497509003,4.8439249992,3,3
scatter,64,4,1000,128,100,0.0,4.7523436546,4.3309342861,3,3
scatter,128,1,1000,128,100,0.0,295.3428761959,295.2503199577,0,1
scatter,128,1,1000,128,100,0.0,226.8732814789,226.8356080055,0,2
scatter,128,1,1000,128,100,0.0,226.0192706585,226.0005338192,0,3
scatter,128,1,1000,128,100,0.0,2.8422298431,2.6291811466,3,1
scatter,128,2,1000,128,100,0.0,2.8892912865,2.7198388577,3,1
scatter,128,4,1000,128,100,0.0,3.364821434,3.1279997826,3,1
scatter,128,1,1000,128,100,0.0,2.7861506939,2.5736234188,3,2
scatter,128,2,1000,128,100,0.0,3.0950584412,2.8560614586,3,2
scatter,128,4,1000,128,100,0.0,3.5342607498,3.1352014542,3,2
scatter,128,1,1000,128,100,0.0,2.9113929272,2.6954762936,3,3
scatter,128,2,1000,128,100,0.0,2.6397666931,2.5686516762,3,3
scatter,128,4,1000,128,100,0.0,3.1898710728,2.9016876221,3,3
