placement,np,iterations,population,features,total_time,computation_time,trial,execution,gather_time,speedup,efficiency,reference_time
pack,16,1000,128,100,243.1564688683,243.1471669674,0,3,,0.9749132096985615,6.09320756061601,237.0473849773
pack,16,1000,128,100,234.1317930221,234.11862182619998,1,1,0.0008814335,1.0125097402686498,6.328185876679061,237.0473849773
pack,16,1000,128,100,194.0884115696,194.0792338848,1,2,0.00071311,1.2213948923458997,7.633718077161873,237.0473849773
pack,16,1000,128,100,206.6033334732,206.5658109188,1,3,0.0007178783,1.1475635000919013,7.172271875574383,237.0473849773
pack,16,1000,128,100,13.187513113,13.1451530457,2,1,,18.033063909806827,112.70664943629268,237.0473849773
pack,16,1000,128,100,13.139993906,13.1312453747,2,2,,18.052163234571772,112.82602021607357,237.0473849773
pack,16,1000,128,100,13.1880540848,13.1804656982,2,3,,17.984750342294245,112.40468963933903,237.0473849773
pack,32,1000,128,100,244.3490052223,244.3344984055,0,1,,0.9701756670639844,3.0317989595749513,237.0473849773
pack,32,1000,128,100,245.2060365677,245.192946434,0,2,,0.9667789731508749,3.021184291096484,237.0473849773
pack,32,1000,128,100,246.6476314068,246.6362578869,0,3,,0.9611213979981922,3.0035043687443506,237.0473849773
pack,32,1000,128,100,252.21038365360002,252.1855347156,1,1,0.0012032986,0.9399721726491097,2.937413039528468,237.0473849773
pack,32,1000,128,100,212.944564104,212.9313933849,1,2,0.0010888577,1.113257097551639,3.478928429848872,237.0473849773
pack,32,1000,128,100,274.18164563180005,274.1665277481,1,3,0.0011754036,0.8646109608066215,2.701909252520692,237.0473849773
pack,32,1000,128,100,6.8308238983,6.7872152328,2,1,,34.92557357423132,109.14241741947288,237.0473849773
pack,32,1000,128,100,6.7769875526,6.7649013996,2,2,,35.04077457674642,109.50242055233257,237.0473849773
pack,32,1000,128,100,6.7708940506,6.7612345219,2,3,,35.05977853740924,109.56180792940387,237.0473849773
pack,64,1000,128,100,220.3186178207,220.2945427895,0,1,,1.076047467974765,1.6813241687105702,237.0473849773
pack,64,1000,128,100,219.735935688,219.7020721436,0,2,,1.078949245514457,1.685858196116339,237.0473849773
pack,64,1000,128,100,218.4589004517,218.4437155724,0,3,,1.0851645896800088,1.695569671375014,237.0473849773
pack,64,1000,128,100,220.2718846798,220.1630821228,1,1,0.0018613338,1.0766899822245515,1.6823280972258616,237.0473849773
pack,64,1000,128,100,257.7271139622,257.5768547058,1,2,0.064994812,0.9202976923064442,1.437965144228819,237.0473849773
pack,64,1000,128,100,255.5221128463,255.33028578749997,1,3,0.0621387959,0.9283950951850027,1.4506173362265669,237.0473849773
pack,64,1000,128,100,3.2582697868,3.1889500618,2,1,,74.33399093226905,116.14686083167038,237.0473849773
pack,64,1000,128,100,3.2085075378,3.1834294796,2,2,,74.46289810920679,116.34827829563561,237.0473849773
pack,64,1000,128,100,3.2675879002,3.2071743011,2,3,,73.91160028190463,115.48687544047598,237.0473849773
scatter,1,1000,128,100,213.1233534813,213.0883066654,0,1,,1.0,100.0,213.0883066654
scatter,1,1000,128,100,213.1681168079,213.1611838341,0,2,,0.9996581123852422,99.96581123852421,213.0883066654
